,Restaurant_id,City,Cuisine Style,Ranking,Rating,Price Range,Number of Reviews,Reviews,URL_TA,ID_TA,url,Full_rest_numbers
13,id_4637,Berlin,"['Vegetarian Friendly', 'Gluten Free Options']",4639.0,4.5,$$ - $$$,10.0,"[['What a great spot!', 'Healthy superfoods, various lunch offers a...'], ['07/25/2017', '05/30/2017']]",/Restaurant_Review-g187323-d12107166-Reviews-Lykke-Berlin.html,d12107166,https://www.tripadvisor.com/Restaurant_Review-g187323-d12107166-Reviews-Lykke-Berlin.html,
14,id_4773,Madrid,"['Mediterranean', 'Spanish', 'Healthy']",4776.0,4.0,$$ - $$$,7.0,"[[], []]",/Restaurant_Review-g187514-d10859423-Reviews-Batea-Madrid.html,d10859423,https://www.tripadvisor.com/Restaurant_Review-g187514-d10859423-Reviews-Batea-Madrid.html,5579  10348
15,id_1401,Dublin,['Cafe'],1405.0,4.0,$$ - $$$,28.0,"[['Lovely food', 'Great coffee'], ['12/01/2017', '09/14/2017']]",/Restaurant_Review-g186605-d6633059-Reviews-Green_Land_Cafe-Dublin_County_Dublin.html,d6633059,https://www.tripadvisor.com/Restaurant_Review-g186605-d6633059-Reviews-Green_Land_Cafe-Dublin_County_Dublin.html,1553  2107
16,id_5257,Berlin,"['Japanese', 'Asian', 'Thai', 'Vietnamese']",5259.0,4.0,,3.0,"[['This is a real hidden Sushi-gem'], ['04/12/2017']]",/Restaurant_Review-g187323-d10266473-Reviews-Akira_Sushi_Streetfood-Berlin.html,d10266473,https://www.tripadvisor.com/Restaurant_Review-g187323-d10266473-Reviews-Akira_Sushi_Streetfood-Berlin.html,0
17,id_11121,London,"['Bar', 'Pub']",11131.0,4.5,$$ - $$$,7.0,"[['gin tour venue', 'Gin Tour'], ['02/28/2017', '10/31/2016']]",/Restaurant_Review-g186338-d8659568-Reviews-46_Mercy-London_England.html,d8659568,https://www.tripadvisor.com/Restaurant_Review-g186338-d8659568-Reviews-46_Mercy-London_England.html,11025  17239
18,id_3127,Berlin,['German'],3129.0,4.0,$$ - $$$,12.0,"[['Nice stay, very good hotel', 'great residential area'], ['08/16/2017', '10/21/2016']]",/Restaurant_Review-g187323-d3702312-Reviews-Albrechtshof-Berlin.html,d3702312,https://www.tripadvisor.com/Restaurant_Review-g187323-d3702312-Reviews-Albrechtshof-Berlin.html,1540  5635
19,id_2791,Brussels,['Chinese'],2792.0,3.0,$$ - $$$,12.0,"[['Seriously, is this a restaurant?', 'Not that bad, but very boring type of food...'], ['04/12/2016', '08/13/2015']]",/Restaurant_Review-g947638-d8155327-Reviews-Hong_Yun-Watermael_Boitsfort_Brussels.html,d8155327,https://www.tripadvisor.com/Restaurant_Review-g947638-d8155327-Reviews-Hong_Yun-Watermael_Boitsfort_Brussels.html,23  25
20,id_368,Munich,"['German', 'Vegetarian Friendly']",370.0,5.0,$$ - $$$,27.0,"[['Hidden Gem', 'Traditional Bavarian restaurant'], ['12/12/2017', '12/04/2017']]",/Restaurant_Review-g187309-d10524693-Reviews-Schmaus_Braus-Munich_Upper_Bavaria_Bavaria.html,d10524693,https://www.tripadvisor.com/Restaurant_Review-g187309-d10524693-Reviews-Schmaus_Braus-Munich_Upper_Bavaria_Bavaria.html,0
21,id_5844,Madrid,,5847.0,4.0,,,"[[], []]",/Restaurant_Review-g187514-d10058810-Reviews-Bar_Restaurante_El_Diezy7-Madrid.html,d10058810,https://www.tripadvisor.com/Restaurant_Review-g187514-d10058810-Reviews-Bar_Restaurante_El_Diezy7-Madrid.html,0
22,id_13016,London,"['Bar', 'British', 'Pub']",13026.0,3.5,$$ - $$$,52.0,"[['Nice pub but not for food', 'Recently renovated'], ['08/05/2017', '04/29/2017']]",/Restaurant_Review-g186338-d2508041-Reviews-The_Swan_Wimbledon-London_England.html,d2508041,https://www.tripadvisor.com/Restaurant_Review-g186338-d2508041-Reviews-The_Swan_Wimbledon-London_England.html,7333  17239
23,id_72,Zurich,"['Asian', 'Thai', 'Vegetarian Friendly', 'Gluten Free Options', 'Vegan Options']",73.0,4.0,$$ - $$$,371.0,"[['Great Thai Food', 'Great Thai Food In The Middle Of Switzerla...'], ['12/01/2017', '10/05/2017']]",/Restaurant_Review-g188113-d1018940-Reviews-White_Elephant-Zurich.html,d1018940,https://www.tripadvisor.com/Restaurant_Review-g188113-d1018940-Reviews-White_Elephant-Zurich.html,81  1676
24,id_14973,London,"['Cafe', 'British']",14984.0,3.0,$,18.0,"[['Fast and hot', 'Reasonable'], ['08/06/2017', '05/09/2017']]",/Restaurant_Review-g186338-d7617571-Reviews-Square_Pie-London_England.html,d7617571,https://www.tripadvisor.com/Restaurant_Review-g186338-d7617571-Reviews-Square_Pie-London_England.html,1592  1845
25,id_1076,Warsaw,"['Polish', 'International', 'European', 'Fusion']",1077.0,5.0,$,2.0,"[[], []]",/Restaurant_Review-g274856-d12018194-Reviews-The_Zoopa-Warsaw_Mazovia_Province_Central_Poland.html,d12018194,https://www.tripadvisor.com/Restaurant_Review-g274856-d12018194-Reviews-The_Zoopa-Warsaw_Mazovia_Province_Central_Poland.html,1966  2788
26,id_2763,Madrid,,2765.0,5.0,,11.0,"[['Heavenly meat slices and craft beer too.'], ['07/05/2016']]",/Restaurant_Review-g187514-d10060659-Reviews-Gaditaun-Madrid.html,d10060659,https://www.tripadvisor.com/Restaurant_Review-g187514-d10060659-Reviews-Gaditaun-Madrid.html,3988  10348
27,id_2108,Budapest,,2109.0,3.5,,2.0,"[['Good value canteen lunch stop.'], ['01/26/2017']]",/Restaurant_Review-g274887-d11616946-Reviews-Pajtas_Onkiszolgalo_Etterem-Budapest_Central_Hungary.html,d11616946,https://www.tripadvisor.com/Restaurant_Review-g274887-d11616946-Reviews-Pajtas_Onkiszolgalo_Etterem-Budapest_Central_Hungary.html,0
28,id_10057,Paris,,10059.0,4.5,,4.0,"[['Fab Food'], ['08/20/2011']]",/Restaurant_Review-g187147-d2040769-Reviews-Le_Paradis-Paris_Ile_de_France.html,d2040769,https://www.tripadvisor.com/Restaurant_Review-g187147-d2040769-Reviews-Le_Paradis-Paris_Ile_de_France.html,12484  15633
29,id_8349,Madrid,,8356.0,2.5,,16.0,"[[], []]",/Restaurant_Review-g187514-d5776152-Reviews-Argayo-Madrid.html,d5776152,https://www.tripadvisor.com/Restaurant_Review-g187514-d5776152-Reviews-Argayo-Madrid.html,9962  10348
30,id_1841,Copenhagen,,1846.0,3.0,,16.0,"[['Lack of communication', 'We Liked the Buffet'], ['08/03/2017', '07/07/2017']]",/Restaurant_Review-g189541-d11841754-Reviews-Cafe_Phenix-Copenhagen_Zealand.html,d11841754,https://www.tripadvisor.com/Restaurant_Review-g189541-d11841754-Reviews-Cafe_Phenix-Copenhagen_Zealand.html,1832  1991
31,id_2006,Amsterdam,"['Dutch', 'European']",2011.0,4.5,$$ - $$$,15.0,"[['Brilliant service.....amazing breakfast', 'Fantastic'], ['09/01/2017', '01/03/2017']]",/Restaurant_Review-g188590-d3591150-Reviews-Cafe_Bos-Amsterdam_North_Holland_Province.html,d3591150,https://www.tripadvisor.com/Restaurant_Review-g188590-d3591150-Reviews-Cafe_Bos-Amsterdam_North_Holland_Province.html,0
32,id_1327,Budapest,,1328.0,5.0,,,"[['Absolutely amazing, tasty, fresh, cheap Ch...'], ['10/26/2015']]",/Restaurant_Review-g274887-d8791087-Reviews-Bunny_Chinese_Fast_Food-Budapest_Central_Hungary.html,d8791087,https://www.tripadvisor.com/Restaurant_Review-g274887-d8791087-Reviews-Bunny_Chinese_Fast_Food-Budapest_Central_Hungary.html,1942  2786
33,id_2434,Lyon,['Vietnamese'],2435.0,3.0,,4.0,"[[], []]",/Restaurant_Review-g187265-d3543959-Reviews-Vietnam_City-Lyon_Rhone_Auvergne_Rhone_Alpes.html,d3543959,https://www.tripadvisor.com/Restaurant_Review-g187265-d3543959-Reviews-Vietnam_City-Lyon_Rhone_Auvergne_Rhone_Alpes.html,2319  2574
34,id_2427,Rome,"['Italian', 'Pizza']",2428.0,4.5,$,69.0,"[['Delicious pizza and friendly staff', 'Best Pizza EVER tasted!!!'], ['01/27/2017', '07/17/2016']]",/Restaurant_Review-g187791-d5263694-Reviews-Pizza_Mix-Rome_Lazio.html,d5263694,https://www.tripadvisor.com/Restaurant_Review-g187791-d5263694-Reviews-Pizza_Mix-Rome_Lazio.html,2115  10360
35,id_2045,Madrid,"['Italian', 'Mexican', 'Venezuelan', 'South American']",2047.0,4.5,$$ - $$$,20.0,"[[], []]",/Restaurant_Review-g187514-d10302313-Reviews-Pizzeria_La_Margaritena-Madrid.html,d10302313,https://www.tripadvisor.com/Restaurant_Review-g187514-d10302313-Reviews-Pizzeria_La_Margaritena-Madrid.html,2724  10348
36,id_5842,Milan,['Italian'],5845.0,3.0,$$ - $$$,104.0,"[['Not bad', 'Avoid'], ['04/05/2015', '12/02/2013']]",/Restaurant_Review-g187849-d3267260-Reviews-La_Salumeria_Della_Musica-Milan_Lombardy.html,d3267260,https://www.tripadvisor.com/Restaurant_Review-g187849-d3267260-Reviews-La_Salumeria_Della_Musica-Milan_Lombardy.html,6422  6750
37,id_5209,Rome,"['Japanese', 'Sushi', 'Asian']",5210.0,5.0,$$ - $$$,2.0,"[[], []]",/Restaurant_Review-g187791-d13322935-Reviews-Gyoza_Ristorante_Dim_sum_Sushi-Rome_Lazio.html,d13322935,https://www.tripadvisor.com/Restaurant_Review-g187791-d13322935-Reviews-Gyoza_Ristorante_Dim_sum_Sushi-Rome_Lazio.html,2821  10360
38,id_11291,Paris,['French'],11293.0,4.5,$$ - $$$,10.0,"[['A relaxing dinner in a very personal atmos...'], ['03/08/2015']]",/Restaurant_Review-g187147-d3543081-Reviews-La_Cave_Marcadet-Paris_Ile_de_France.html,d3543081,https://www.tripadvisor.com/Restaurant_Review-g187147-d3543081-Reviews-La_Cave_Marcadet-Paris_Ile_de_France.html,0
39,id_3131,Milan,,3133.0,4.0,,7.0,"[['A great place to enjoy Milan'], ['05/12/2017']]",/Restaurant_Review-g187849-d12447161-Reviews-Le_Biciclette_Art_Bar_Bistrot-Milan_Lombardy.html,d12447161,https://www.tripadvisor.com/Restaurant_Review-g187849-d12447161-Reviews-Le_Biciclette_Art_Bar_Bistrot-Milan_Lombardy.html,1644  6750
40,id_2711,Madrid,"['Bar', 'Cafe', 'Mediterranean', 'Pub']",2713.0,4.5,$,9.0,"[[], []]",/Restaurant_Review-g187514-d12354572-Reviews-La_Tragona_Bar_de_Tapas-Madrid.html,d12354572,https://www.tripadvisor.com/Restaurant_Review-g187514-d12354572-Reviews-La_Tragona_Bar_de_Tapas-Madrid.html,3655  10348
41,id_5459,Paris,"['Asian', 'Thai', 'Vegetarian Friendly']",5460.0,3.5,$$ - $$$,132.0,"[['Very good Thai Food but small Portions and...', 'Great Thai food in Marais and friendly sta...'], ['10/18/2017', '07/29/2017']]",/Restaurant_Review-g187147-d953033-Reviews-Chao_praya-Paris_Ile_de_France.html,d953033,https://www.tripadvisor.com/Restaurant_Review-g187147-d953033-Reviews-Chao_praya-Paris_Ile_de_France.html,8028  15633
42,id_164,Hamburg,"['Soups', 'Healthy', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",165.0,4.5,$$ - $$$,73.0,"[['Fresh options', 'Good Healthy food'], ['10/07/2017', '06/29/2017']]",/Restaurant_Review-g187331-d6031001-Reviews-Dean_David_Fresh_to_Eat-Hamburg.html,d6031001,https://www.tripadvisor.com/Restaurant_Review-g187331-d6031001-Reviews-Dean_David_Fresh_to_Eat-Hamburg.html,212  2882
43,id_9924,Paris,['Pub'],9926.0,3.5,$,39.0,"[['English pub', 'Shameful'], ['02/14/2017', '12/10/2017']]",/Restaurant_Review-g187147-d5799345-Reviews-The_Financier-Paris_Ile_de_France.html,d5799345,https://www.tripadvisor.com/Restaurant_Review-g187147-d5799345-Reviews-The_Financier-Paris_Ile_de_France.html,8822  15633
44,id_2192,Lisbon,['Japanese'],2195.0,4.0,,7.0,"[[], []]",/Restaurant_Review-g189158-d5981466-Reviews-Aya_Bistrot-Lisbon_Lisbon_District_Central_Portugal.html,d5981466,https://www.tripadvisor.com/Restaurant_Review-g189158-d5981466-Reviews-Aya_Bistrot-Lisbon_Lisbon_District_Central_Portugal.html,53  224
45,id_11945,London,['Pizza'],11955.0,4.0,,3.0,"[['Traditional Eastend Pub', 'Cool historic pub'], ['07/19/2017', '02/05/2017']]",/Restaurant_Review-g186338-d7276832-Reviews-Duke_of_Wellington-London_England.html,d7276832,https://www.tripadvisor.com/Restaurant_Review-g186338-d7276832-Reviews-Duke_of_Wellington-London_England.html,10909  17239
46,id_8460,Madrid,['Italian'],8467.0,2.0,,4.0,"[[], []]",/Restaurant_Review-g187514-d12550964-Reviews-Ginos_Monforte_de_Lemos_193-Madrid.html,d12550964,https://www.tripadvisor.com/Restaurant_Review-g187514-d12550964-Reviews-Ginos_Monforte_de_Lemos_193-Madrid.html,9978  10348
47,id_75,Brussels,"['Belgian', 'European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",76.0,4.0,$$ - $$$,484.0,"[['Valentines Dinner', 'Akk Round Very Good'], ['02/15/2018', '02/14/2018']]",/Restaurant_Review-g188644-d4150215-Reviews-Chutney_s-Brussels.html,d4150215,https://www.tripadvisor.com/Restaurant_Review-g188644-d4150215-Reviews-Chutney_s-Brussels.html,132  2365
48,id_2098,Barcelona,"['Cafe', 'Mediterranean', 'Spanish', 'Vegetarian Friendly']",2099.0,4.0,$,41.0,"[['Excellent open air spot in Riberia Quarter', 'Never been kicked out of a bar before !!!'], ['06/05/2017', '12/02/2017']]",/Restaurant_Review-g187497-d7952588-Reviews-Mescladis-Barcelona_Catalonia.html,d7952588,https://www.tripadvisor.com/Restaurant_Review-g187497-d7952588-Reviews-Mescladis-Barcelona_Catalonia.html,1180  8726
49,id_1048,Paris,"['French', 'European', 'Vegetarian Friendly']",1049.0,4.5,$$$$,281.0,"[['Amazing French cuisine', 'One of our best meals in Paris'], ['12/18/2017', '11/16/2017']]",/Restaurant_Review-g187147-d719083-Reviews-Le_Clos_des_Gourmets-Paris_Ile_de_France.html,d719083,https://www.tripadvisor.com/Restaurant_Review-g187147-d719083-Reviews-Le_Clos_des_Gourmets-Paris_Ile_de_France.html,0
50,id_1907,Copenhagen,"['Chinese', 'Fast Food']",1912.0,2.5,,9.0,"[['Okay for quick cheap light lunch', 'Not ok even if you’re a student and poor'], ['01/06/2018', '12/12/2017']]",/Restaurant_Review-g189541-d5408595-Reviews-China-Copenhagen_Zealand.html,d5408595,https://www.tripadvisor.com/Restaurant_Review-g189541-d5408595-Reviews-China-Copenhagen_Zealand.html,1968  1991
51,id_10142,London,,10151.0,4.0,,5.0,"[['Top class service and Food by New Manageme...', 'Very tasty Masala Tikka'], ['12/08/2017', '09/17/2017']]",/Restaurant_Review-g186338-d12391114-Reviews-Lahori_Tikka_Masala-London_England.html,d12391114,https://www.tripadvisor.com/Restaurant_Review-g186338-d12391114-Reviews-Lahori_Tikka_Masala-London_England.html,10590  17239
52,id_9231,Paris,"['French', 'Vietnamese']",9233.0,4.0,,25.0,"[[], []]",/Restaurant_Review-g187147-d7332770-Reviews-Chez_Kim_Ly-Paris_Ile_de_France.html,d7332770,https://www.tripadvisor.com/Restaurant_Review-g187147-d7332770-Reviews-Chez_Kim_Ly-Paris_Ile_de_France.html,5801  15633
53,id_279,Dublin,"['Italian', 'Pizza', 'European', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",280.0,4.0,$$ - $$$,257.0,"[['Great lunch', 'Kids Birthday Party'], ['11/26/2017', '10/06/2017']]",/Restaurant_Review-g186605-d1785149-Reviews-Little_Venice-Dublin_County_Dublin.html,d1785149,https://www.tripadvisor.com/Restaurant_Review-g186605-d1785149-Reviews-Little_Venice-Dublin_County_Dublin.html,1  10
54,id_155,Amsterdam,"['Steakhouse', 'Latin', 'Barbecue', 'European', 'Argentinean', 'South American', 'Vegetarian Friendly']",156.0,4.5,$$ - $$$,482.0,"[['Perfect foods', 'Everything is hillarious!'], ['01/05/2018', '01/05/2018']]",/Restaurant_Review-g188590-d4588301-Reviews-Villa_Maria_Restaurant_Amsterdam-Amsterdam_North_Holland_Province.html,d4588301,https://www.tripadvisor.com/Restaurant_Review-g188590-d4588301-Reviews-Villa_Maria_Restaurant_Amsterdam-Amsterdam_North_Holland_Province.html,268  3671
55,id_2622,Prague,['Cafe'],2628.0,4.5,$,4.0,"[['excellent sandwiches and salads'], ['03/19/2016']]",/Restaurant_Review-g274707-d7123553-Reviews-Passcal-Prague_Bohemia.html,d7123553,https://www.tripadvisor.com/Restaurant_Review-g274707-d7123553-Reviews-Passcal-Prague_Bohemia.html,3539  4653
56,id_1585,Lyon,['Italian'],1586.0,4.0,$$ - $$$,25.0,"[['Too busy and too important to serve custom...'], ['11/10/2014']]",/Restaurant_Review-g187265-d4295258-Reviews-Espressamente_illy_Lyon_Part_Dieu-Lyon_Rhone_Auvergne_Rhone_Alpes.html,d4295258,https://www.tripadvisor.com/Restaurant_Review-g187265-d4295258-Reviews-Espressamente_illy_Lyon_Part_Dieu-Lyon_Rhone_Auvergne_Rhone_Alpes.html,0
57,id_5510,Madrid,,5513.0,4.5,,6.0,"[['Business lunch spot'], ['04/13/2012']]",/Restaurant_Review-g187514-d697485-Reviews-Casa_Santa_Cruz-Madrid.html,d697485,https://www.tripadvisor.com/Restaurant_Review-g187514-d697485-Reviews-Casa_Santa_Cruz-Madrid.html,6218  10348
58,id_547,Milan,"['Japanese', 'Sushi', 'Vegetarian Friendly']",548.0,4.0,$$ - $$$,554.0,"[['Always a great experience', 'The best sushi in Milan'], ['05/28/2017', '03/23/2017']]",/Restaurant_Review-g187849-d4353632-Reviews-Kanji_EVO-Milan_Lombardy.html,d4353632,https://www.tripadvisor.com/Restaurant_Review-g187849-d4353632-Reviews-Kanji_EVO-Milan_Lombardy.html,973  6750
59,id_10032,Paris,,10034.0,4.5,,2.0,"[[], []]",/Restaurant_Review-g187147-d1035491-Reviews-Le_Kaiku-Paris_Ile_de_France.html,d1035491,https://www.tripadvisor.com/Restaurant_Review-g187147-d1035491-Reviews-Le_Kaiku-Paris_Ile_de_France.html,12855  15633
60,id_8755,London,,8764.0,4.5,,4.0,"[['Tasty bratwurst', 'Fab Bratwurst'], ['12/21/2017', '09/24/2017']]",/Restaurant_Review-g186338-d12676684-Reviews-The_German_Deli-London_England.html,d12676684,https://www.tripadvisor.com/Restaurant_Review-g186338-d12676684-Reviews-The_German_Deli-London_England.html,
61,id_1620,Warsaw,,1622.0,4.0,,2.0,"[[], []]",/Restaurant_Review-g274856-d11770289-Reviews-Bar_Hoa_Lan-Warsaw_Mazovia_Province_Central_Poland.html,d11770289,https://www.tripadvisor.com/Restaurant_Review-g274856-d11770289-Reviews-Bar_Hoa_Lan-Warsaw_Mazovia_Province_Central_Poland.html,2265  2788
62,id_3662,Barcelona,['Spanish'],3663.0,4.0,$,26.0,"[['Great.', 'Nice'], ['08/31/2016', '05/17/2016']]",/Restaurant_Review-g187497-d5587837-Reviews-Chistu-Barcelona_Catalonia.html,d5587837,https://www.tripadvisor.com/Restaurant_Review-g187497-d5587837-Reviews-Chistu-Barcelona_Catalonia.html,4420  8726
63,id_150,Budapest,"['Healthy', 'Mediterranean', 'Vegetarian Friendly']",151.0,4.5,$,1317.0,"[['Great Food', 'Tasty'], ['01/07/2018', '01/07/2018']]",/Restaurant_Review-g274887-d813990-Reviews-Hummusbar-Budapest_Central_Hungary.html,d813990,https://www.tripadvisor.com/Restaurant_Review-g274887-d813990-Reviews-Hummusbar-Budapest_Central_Hungary.html,323  2786
64,id_52,Dublin,"['Irish', 'Seafood', 'European', 'Soups', 'Vegetarian Friendly', 'Gluten Free Options']",53.0,4.5,$$ - $$$,1820.0,"[['Wonderful Birthday Dinner', 'Incredible'], ['01/09/2018', '01/05/2018']]",/Restaurant_Review-g186605-d2259146-Reviews-Matt_The_Thresher-Dublin_County_Dublin.html,d2259146,https://www.tripadvisor.com/Restaurant_Review-g186605-d2259146-Reviews-Matt_The_Thresher-Dublin_County_Dublin.html,111  2107
65,id_1981,Budapest,,1982.0,3.5,,8.0,"[['Good cooked food selfservise restaurant', 'Cold, disappointing food'], ['09/30/2017', '10/08/2016']]",/Restaurant_Review-g274887-d10073699-Reviews-Fozelekfalo_Food_Bar-Budapest_Central_Hungary.html,d10073699,https://www.tripadvisor.com/Restaurant_Review-g274887-d10073699-Reviews-Fozelekfalo_Food_Bar-Budapest_Central_Hungary.html,2459  2786
66,id_533,Barcelona,"['Japanese', 'Asian', 'Fusion', 'Vegetarian Friendly', 'Gluten Free Options']",534.0,4.0,$$$$,1060.0,"[['El Bulli style Japanese restaurant.', 'Breathtaking. WHAT?'], ['12/10/2017', '10/20/2017']]",/Restaurant_Review-g187497-d1099373-Reviews-Dos_Palillos-Barcelona_Catalonia.html,d1099373,https://www.tripadvisor.com/Restaurant_Review-g187497-d1099373-Reviews-Dos_Palillos-Barcelona_Catalonia.html,1085  8726
67,id_2068,Barcelona,"['Seafood', 'Mediterranean', 'Spanish']",2069.0,4.0,$$ - $$$,112.0,"[['Do not miss this restaurant!', 'You will enjoy it.'], ['10/29/2016', '10/18/2016']]",/Restaurant_Review-g187497-d797017-Reviews-Brasseria_Gallega-Barcelona_Catalonia.html,d797017,https://www.tripadvisor.com/Restaurant_Review-g187497-d797017-Reviews-Brasseria_Gallega-Barcelona_Catalonia.html,1798  8726
68,id_8648,Paris,,8650.0,4.5,,3.0,"[[], []]",/Restaurant_Review-g187147-d11687952-Reviews-Lula-Paris_Ile_de_France.html,d11687952,https://www.tripadvisor.com/Restaurant_Review-g187147-d11687952-Reviews-Lula-Paris_Ile_de_France.html,7092  15633
69,id_2273,Paris,"['Chinese', 'Asian']",2274.0,4.0,$$ - $$$,157.0,"[['A Delightful Finish', 'Great authentic food'], ['07/19/2017', '01/07/2017']]",/Restaurant_Review-g187147-d1019904-Reviews-L_Orient_d_Or-Paris_Ile_de_France.html,d1019904,https://www.tripadvisor.com/Restaurant_Review-g187147-d1019904-Reviews-L_Orient_d_Or-Paris_Ile_de_France.html,1794  15633
