bodytype,brand,mileage,color,engine,complectation,tax,transmission,drive,wheel,owners,customs,pts,year,price
Кузоввнедорожник 5 дв.,Audi Q5 II (FY),Пробег47 586 км,Цветбелый,Двигатель2.0 л / 249 л.с. / Бензин,Комплектация43 опции,Налог18 675 ₽ / год,Коробкароботизированная,Приводполный,РульЛевый,Владельцы1 владелец,ТаможняРастаможен,ПТСОригинал,год выпуска2018,3 428 000 ₽Отличная ценаСмотреть статистику цен
Кузовуниверсал 5 дв.,Audi RS 6 IV (C8),Пробег20 км,Цветсерый,Двигатель4.0 л / 600 л.с. / Бензин,,Налог90 000 ₽ / год,Коробкаавтоматическая,Приводполный,РульЛевый,Владельцы1 владелец,ТаможняРастаможен,ПТСОригинал,год выпуска2021,14 500 000 ₽Смотреть статистику цен
Кузоввнедорожник 5 дв.,Audi Q7 I (4L),Пробег169 622 км,Цветкрасный,Двигатель3.0 л / 238 л.с. / Дизель,Комплектация39 опций,Налог17 850 ₽ / год,Коробкаавтоматическая,Приводполный,РульЛевый,Владельцы2 владельца,ТаможняРастаможен,ПТСОригинал,год выпуска2008,1 330 000 ₽от 1 296 750 ₽ со скидками
Кузовседан,Audi A4 V (B9),Пробег99 554 км,Цветкрасный,Двигатель2.0 л / 190 л.с. / Бензин,Комплектация18 опций,Налог9 500 ₽ / год,Коробкароботизированная,Приводпередний,РульЛевый,Владельцы2 владельца,ТаможняРастаможен,ПТСОригинал,год выпуска2015,1 957 977 ₽Смотреть статистику цен
Кузовседан,Audi A4 V (B9),Пробег27 344 км,Цветчёрный,Двигатель1.4 л / 150 л.с. / Бензин,Комплектация45 опций,Налог5 250 ₽ / год,Коробкароботизированная,Приводпередний,РульЛевый,Владельцы1 владелец,ТаможняРастаможен,ПТСОригинал,год выпуска2015,2 199 579 ₽Смотреть статистику цен
Кузоввнедорожник 5 дв.,Audi Q3 I (8U),Пробег123 349 км,Цветкоричневый,Двигатель2.0 л / 170 л.с. / Бензин,Комплектация48 опций,Налог8 500 ₽ / год,Коробкароботизированная,Приводполный,РульЛевый,Владельцы3 или более,ТаможняРастаможен,ПТСДубликат,год выпуска2013,1 149 539 ₽Смотреть статистику цен
Кузовхэтчбек 3 дв.,Audi A3 III (8V),Пробег99 322 км,Цветчёрный,Двигатель1.8 л / 180 л.с. / Бензин,КомплектацияAttraction,Налог5 886 ₽ / год,Коробкароботизированная,Приводполный,РульЛевый,Владельцы2 владельца,ТаможняРастаможен,ПТСОригинал,год выпуска2013,1 600 000 ₽Смотреть статистику цен
Кузовседан,Audi A4 IV (B8) Рестайлинг,Пробег202 600 км,Цветкоричневый,Двигатель1.8 л / 170 л.с. / Бензин,,Налог8 500 ₽ / год,Коробкавариатор,Приводпередний,РульЛевый,Владельцы2 владельца,ТаможняРастаможен,ПТСОригинал,год выпуска2014,880 000 ₽Смотреть статистику цен
Кузовседан,Audi A4 V (B9),Пробег174 000 км,Цветчёрный,Двигатель2.0 л / 249 л.с. / Бензин,,Налог18 675 ₽ / год,Коробкароботизированная,Приводполный,РульЛевый,Владельцы3 или более,ТаможняРастаможен,ПТСОригинал,год выпуска2016,2 135 000 ₽Смотреть статистику цен
Кузовлифтбек,Audi A7 I (4G),Пробег162 000 км,Цветсеребристый,Двигатель3.0 л / 300 л.с. / Бензин,Комплектация77 опций,Налог45 000 ₽ / год,Коробкароботизированная,Приводполный,РульЛевый,Владельцы3 или более,ТаможняРастаможен,ПТСДубликат,год выпуска2012,1 390 000 ₽Хорошая ценаСмотреть статистику цен
Кузоввнедорожник 5 дв.,Audi Q5 I (8R) Рестайлинг,Пробег156 638 км,Цветбелый,Двигатель2.0 л / 225 л.с. / Бензин,,Налог16 875 ₽ / год,Коробкаавтоматическая,Приводполный,РульЛевый,Владельцы3 или более,ТаможняРастаможен,ПТСДубликат,год выпуска2012,1 528 000 ₽Отличная ценаСмотреть статистику цен
Кузовседан,Audi A4 V (B9),Пробег43 000 км,Цветсерый,Двигатель1.4 л / 150 л.с. / Бензин,КомплектацияSport,Налог5 250 ₽ / год,Коробкароботизированная,Приводпередний,РульЛевый,Владельцы2 владельца,ТаможняРастаможен,ПТСОригинал,год выпуска2019,2 488 000 ₽Хорошая ценаот 2 363 000 ₽ со скидками
Кузовседан,Audi 100 IV (C4),Пробег250 000 км,Цветзелёный,Двигатель2.0 л / 115 л.с. / Бензин,,Налог3 910 ₽ / год,Коробкамеханическая,Приводпередний,РульЛевый,Владельцы3 или более,ТаможняРастаможен,ПТСОригинал,год выпуска1992,75 000 ₽Смотреть статистику цен
Кузовседан,Audi 100 IV (C4),Пробег250 000 км,Цветзелёный,Двигатель2.0 л / 115 л.с. / Бензин,,Налог3 910 ₽ / год,Коробкамеханическая,Приводпередний,РульЛевый,Владельцы3 или более,ТаможняРастаможен,ПТСОригинал,год выпуска1992,75 000 ₽Смотреть статистику цен
Кузовлифтбек,Audi A5 II (F5),Пробег37 338 км,Цветсерый,Двигатель2.0 л / 190 л.с. / Дизель,КомплектацияDesign 40 TDI quattro S tronic,Налог8 550 ₽ / год,Коробкароботизированная,Приводполный,РульЛевый,Владельцы1 владелец,ТаможняРастаможен,ПТСОригинал,год выпуска2018,3 199 990 ₽Хорошая ценаСмотреть статистику цен
Кузоввнедорожник 5 дв.,Audi Q3 I (8U),Пробег160 374 км,Цветчёрный,Двигатель2.0 л / 170 л.с. / Бензин,КомплектацияБазовая,Налог8 500 ₽ / год,Коробкароботизированная,Приводполный,РульЛевый,Владельцы3 или более,ТаможняРастаможен,ПТСОригинал,год выпуска2012,1 210 000 ₽Отличная ценаСмотреть статистику цен
Кузовседан,Audi A4 IV (B8),Пробег164 000 км,Цветсерый,Двигатель2.0 л / 211 л.с. / Бензин,,Налог13 715 ₽ / год,Коробкароботизированная,Приводполный,РульЛевый,Владельцы3 или более,ТаможняРастаможен,ПТСОригинал,год выпуска2011,1 070 000 ₽Смотреть статистику цен
Кузоввнедорожник 5 дв.,Audi Q5 I (8R) Рестайлинг,Пробег212 000 км,Цветкоричневый,Двигатель2.0 л / 225 л.с. / Бензин,Комплектация59 опций,Налог16 875 ₽ / год,Коробкаавтоматическая,Приводполный,РульЛевый,Владельцы1 владелец,ТаможняРастаможен,ПТСОригинал,год выпуска2013,1 750 000 ₽Смотреть статистику цен
Кузовседан,Audi A6 IV (C7),Пробег270 926 км,Цветчёрный,Двигатель2.0 л / 180 л.с. / Бензин,Комплектация24 опции,Налог9 000 ₽ / год,Коробкавариатор,Приводпередний,РульЛевый,Владельцы1 владелец,ТаможняРастаможен,ПТСОригинал,год выпуска2013,1 350 000 ₽Смотреть статистику цен
Кузовлифтбек,Audi A7 I (4G),Пробег165 560 км,Цветчёрный,Двигатель2.8 л / 204 л.с. / Бензин,Комплектация45 опций,Налог15 300 ₽ / год,Коробкароботизированная,Приводполный,РульЛевый,Владельцы3 или более,ТаможняРастаможен,ПТСОригинал,год выпуска2013,1 899 000 ₽Смотреть статистику цен
Кузовседан,Audi A8 Long 55 TFSI IV (D5),Пробег132 211 км,Цветчёрный,Двигатель3.0 л / 340 л.с. / Бензин,,Налог51 000 ₽ / год,Коробкаавтоматическая,Приводполный,РульЛевый,Владельцы1 владелец,ТаможняРастаможен,ПТСОригинал,год выпуска2018,4 975 000 ₽Смотреть статистику цен
Кузоввнедорожник 5 дв.,Audi Q3 40 TFSI II (F3),Пробег30 177 км,Цветсиний,Двигатель2.0 л / 180 л.с. / Бензин,Комплектация40 TFSI quattro S tronic,Налог9 000 ₽ / год,Коробкароботизированная,Приводполный,РульЛевый,Владельцы2 владельца,ТаможняРастаможен,ПТСОригинал,год выпуска2020,3 450 000 ₽Смотреть статистику цен
Кузовуниверсал 5 дв.,Audi A6 allroad III (C7) Рестайлинг,Пробег120 400 км,Цветбелый,Двигатель3.0 л / 333 л.с. / Бензин,Комплектация61 опция,Налог49 950 ₽ / год,Коробкароботизированная,Приводполный,РульЛевый,Владельцы3 или более,ТаможняРастаможен,ПТСОригинал,год выпуска2015,2 599 990 ₽Смотреть статистику цен
Кузовкупе,Audi A5 II (F5),Пробег60 655 км,Цветзелёный,Двигатель2.0 л / 249 л.с. / Бензин,КомплектацияSport,Налог18 675 ₽ / год,Коробкароботизированная,Приводполный,РульЛевый,Владельцы1 владелец,ТаможняРастаможен,ПТСОригинал,год выпуска2017,3 329 000 ₽от 3 162 000 ₽ со скидками
Кузовхэтчбек 3 дв.,Audi A3 II (8P) Рестайлинг 2,Пробег215 000 км,Цветкрасный,Двигатель1.4 л / 125 л.с. / Бензин,,Налог2 625 ₽ / год,Коробкароботизированная,Приводпередний,РульЛевый,Владельцы3 или более,ТаможняРастаможен,ПТСОригинал,год выпуска2010,640 000 ₽Смотреть статистику цен
Кузовлифтбек,Audi A5 II (F5),Пробег124 926 км,Цветсиний,Двигатель2.0 л / 190 л.с. / Дизель,Комплектация31 опция,Налог6 213 ₽ / год,Коробкароботизированная,Приводполный,РульЛевый,Владельцы1 владелец,ТаможняРастаможен,ПТСОригинал,год выпуска2018,2 849 000 ₽Отличная ценаСмотреть статистику цен
Кузовседан,Audi A8 Long III (D4) Рестайлинг,Пробег100 000 км,Цветчёрный,Двигатель4.0 л / 435 л.с. / Бензин,Комплектация89 опций,,Коробкаавтоматическая,Приводполный,РульЛевый,Владельцы2 владельца,ТаможняРастаможен,ПТСОригинал,год выпуска2015,3 300 000 ₽Смотреть статистику цен
Кузоввнедорожник 5 дв.,Audi Q5 I (8R),Пробег104 335 км,Цветсерый,Двигатель2.0 л / 211 л.с. / Бензин,Комплектация48 опций,Налог15 825 ₽ / год,Коробкароботизированная,Приводполный,РульЛевый,Владельцы3 или более,ТаможняРастаможен,ПТСОригинал,год выпуска2010,1 200 000 ₽от 1 050 000 ₽ со скидками
Кузоввнедорожник 5 дв.,Audi Q5 II (FY),Пробег76 000 км,Цветсеребристый,Двигатель2.0 л / 249 л.с. / Бензин,КомплектацияSport 45 TFSI quattro S tronic,Налог18 675 ₽ / год,Коробкароботизированная,Приводполный,РульЛевый,Владельцы3 или более,ТаможняРастаможен,ПТСОригинал,год выпуска2017,2 870 000 ₽Смотреть статистику цен
Кузовхэтчбек 3 дв.,Audi A1 I (8X),Пробег184 000 км,Цветчёрный,Двигатель1.4 л / 122 л.с. / Бензин,Комплектация37 опций,Налог4 148 ₽ / год,Коробкароботизированная,Приводпередний,РульЛевый,Владельцы2 владельца,ТаможняРастаможен,ПТСОригинал,год выпуска2010,730 000 ₽Смотреть статистику цен
Кузоввнедорожник 5 дв.,Audi Q7 II (4M),Пробег191 798 км,Цветбелый,Двигатель3.0 л / 249 л.с. / Дизель,Комплектация62 опции,Налог18 675 ₽ / год,Коробкаавтоматическая,Приводполный,РульЛевый,Владельцы3 или более,ТаможняРастаможен,ПТСДубликат,год выпуска2015,2 879 000 ₽Отличная ценаСмотреть статистику цен
Кузовкупе,Audi A5 45 TFSI II (F5) Рестайлинг,Пробег4 000 км,Цветсерый,Двигатель2.0 л / 249 л.с. / Бензин,КомплектацияSport 45 TFSI quattro S tronic,Налог18 675 ₽ / год,Коробкароботизированная,Приводполный,РульЛевый,Владельцы1 владелец,ТаможняРастаможен,ПТСОригинал,год выпуска2021,4 780 000 ₽Смотреть статистику цен
Кузовседан,Audi A3 III (8V) Рестайлинг,Пробег26 677 км,Цветсерый,Двигатель1.4 л / 150 л.с. / Бензин,Комплектация25 опций,Налог5 250 ₽ / год,Коробкароботизированная,Приводпередний,РульЛевый,Владельцы1 владелец,ТаможняРастаможен,ПТСОригинал,год выпуска2020,2 247 000 ₽Хорошая ценаСмотреть статистику цен
Кузовседан,Audi A6 II (C5),Пробег300 000 км,Цветсиний,Двигатель2.4 л / 165 л.с. / Бензин,,Налог5 775 ₽ / год,Коробкамеханическая,Приводпередний,РульЛевый,Владельцы3 или более,ТаможняРастаможен,ПТСОригинал,год выпуска1997,250 000 ₽Хорошая ценаСмотреть статистику цен
Кузоввнедорожник 5 дв.,Audi Q7 I (4L),Пробег247 590 км,Цветсерый,Двигатель3.6 л / 280 л.с. / Бензин,Комплектация37 опций,Налог42 000 ₽ / год,Коробкаавтоматическая,Приводполный,РульЛевый,Владельцы3 или более,ТаможняРастаможен,ПТСОригинал,год выпуска2007,945 000 ₽Смотреть статистику цен
Кузовседан,Audi A4 V (B9),Пробег239 438 км,Цветсерый,Двигатель2.0 л / 249 л.с. / Бензин,Комплектация15 опций,Налог18 675 ₽ / год,Коробкароботизированная,Приводполный,РульЛевый,Владельцы3 или более,ТаможняРастаможен,ПТСДубликат,год выпуска2016,1 587 000 ₽Смотреть статистику цен
Кузовседан,Audi A6 IV (C7) Рестайлинг,Пробег90 000 км,Цветчёрный,Двигатель2.8 л / 220 л.с. / Бензин,Комплектация41 опция,Налог16 500 ₽ / год,Коробкароботизированная,Приводполный,РульЛевый,Владельцы3 или более,ТаможняРастаможен,ПТСОригинал,год выпуска2014,1 990 000 ₽Отличная ценаСмотреть статистику цен
Кузоввнедорожник 5 дв.,Audi Q3 I (8U),Пробег95 000 км,Цветбелый,Двигатель2.0 л / 170 л.с. / Бензин,КомплектацияБазовая,Налог8 500 ₽ / год,Коробкароботизированная,Приводполный,РульЛевый,Владельцы3 или более,ТаможняРастаможен,ПТСОригинал,год выпуска2014,1 550 000 ₽Смотреть статистику цен
Кузовседан,Audi A6 IV (C7) Рестайлинг,Пробег69 092 км,Цветчёрный,Двигатель1.8 л / 190 л.с. / Бензин,Комплектация42 опции,Налог9 500 ₽ / год,Коробкароботизированная,Приводпередний,РульЛевый,Владельцы2 владельца,ТаможняРастаможен,ПТСОригинал,год выпуска2016,2 314 000 ₽от 2 264 000 ₽ со скидками
Кузовседан,Audi A8 Long III (D4) Рестайлинг,Пробег98 000 км,Цветчёрный,Двигатель3.0 л / 310 л.с. / Бензин,КомплектацияБазовая,Налог46 500 ₽ / год,Коробкаавтоматическая,Приводполный,РульЛевый,Владельцы2 владельца,ТаможняРастаможен,ПТСОригинал,год выпуска2014,2 450 000 ₽Хорошая ценаСмотреть статистику цен
Кузовхэтчбек 5 дв.,Audi A3 I (8L) Рестайлинг,Пробег227 000 км,Цветсеребристый,Двигатель1.6 л / 101 л.с. / Бензин,Комплектация9 опций,Налог2 525 ₽ / год,Коробкамеханическая,Приводпередний,РульЛевый,Владельцы3 или более,ТаможняРастаможен,ПТСДубликат,год выпуска2001,273 000 ₽Смотреть статистику цен
Кузовседан,Audi A4 V (B9),Пробег34 766 км,Цветсерый,Двигатель2.0 л / 190 л.с. / Бензин,Комплектация1 опция,Налог9 500 ₽ / год,Коробкароботизированная,Приводпередний,РульЛевый,Владельцы2 владельца,ТаможняРастаможен,ПТСОригинал,год выпуска2016,2 149 000 ₽Хорошая ценаСмотреть статистику цен
Кузовкупе,Audi TT II (8J),Пробег150 000 км,Цветпурпурный,Двигатель2.0 л / 200 л.с. / Бензин,,Налог5 800 ₽ / год,Коробкароботизированная,Приводпередний,РульЛевый,Владельцы3 или более,ТаможняРастаможен,ПТСДубликат,год выпуска2007,770 000 ₽Хорошая ценаСмотреть статистику цен
Кузоввнедорожник 5 дв.,Audi Q5 II (FY),Пробег156 000 км,Цветбелый,Двигатель2.0 л / 249 л.с. / Бензин,Комплектация16 опций,Налог18 675 ₽ / год,Коробкароботизированная,Приводполный,РульЛевый,Владельцы1 владелец,ТаможняРастаможен,ПТСОригинал,год выпуска2017,2 890 000 ₽Смотреть статистику цен
Кузоввнедорожник 5 дв.,Audi Q5 II (FY),Пробег102 634 км,Цветсерый,Двигатель2.0 л / 249 л.с. / Бензин,Комплектация84 опции,Налог18 675 ₽ / год,Коробкароботизированная,Приводполный,РульЛевый,Владельцы2 владельца,ТаможняРастаможен,ПТСОригинал,год выпуска2018,3 259 000 ₽Отличная ценаот 3 159 000 ₽ со скидками
Кузоввнедорожник 5 дв.,Audi Q3 Sportback 40 TFSI I (F3),Пробег33 060 км,Цветчёрный,Двигатель2.0 л / 180 л.с. / Бензин,Комплектация44 опции,Налог9 000 ₽ / год,Коробкароботизированная,Приводполный,РульЛевый,Владельцы1 владелец,ТаможняРастаможен,ПТСОригинал,год выпуска2020,3 590 000 ₽от 3 338 400 ₽ со скидками
Кузовседан,Audi A4 V (B9),Пробег52 581 км,Цветоранжевый,Двигатель1.4 л / 150 л.с. / Бензин,Комплектация45 опций,Налог5 250 ₽ / год,Коробкароботизированная,Приводпередний,РульЛевый,Владельцы1 владелец,ТаможняРастаможен,ПТСОригинал,год выпуска2017,2 259 539 ₽Смотреть статистику цен
Кузоввнедорожник 5 дв.,Audi Q7 II (4M),Пробег140 992 км,Цветчёрный,Двигатель3.0 л / 249 л.с. / Дизель,Комплектация32 опции,Налог18 675 ₽ / год,Коробкаавтоматическая,Приводполный,РульЛевый,Владельцы2 владельца,ТаможняРастаможен,ПТСОригинал,год выпуска2016,3 278 490 ₽Отличная ценаСмотреть статистику цен
Кузовкупе,Audi A5 I (8T),Пробег137 200 км,Цветбелый,Двигатель1.8 л / 160 л.с. / Бензин,КомплектацияБазовая,Налог7 200 ₽ / год,Коробкавариатор,Приводпередний,РульЛевый,Владельцы3 или более,ТаможняРастаможен,ПТСОригинал,год выпуска2010,1 075 000 ₽Смотреть статистику цен
Кузовседан,Audi A8 Long III (D4),Пробег163 689 км,Цветчёрный,Двигатель3.0 л / 250 л.с. / Дизель,Комплектация50 опций,Налог18 750 ₽ / год,Коробкаавтоматическая,Приводполный,РульЛевый,Владельцы3 или более,ТаможняРастаможен,ПТСОригинал,год выпуска2011,2 088 000 ₽Смотреть статистику цен
Кузоввнедорожник 5 дв.,Audi Q5 I (8R) Рестайлинг,Пробег118 560 км,Цветкоричневый,Двигатель2.0 л / 225 л.с. / Бензин,Комплектация49 опций,Налог16 875 ₽ / год,Коробкаавтоматическая,Приводполный,РульЛевый,Владельцы1 владелец,ТаможняРастаможен,ПТСОригинал,год выпуска2014,1 800 000 ₽Смотреть статистику цен
Кузовседан,Audi A4 35 TFSI V (B9) Рестайлинг,Пробег10 500 км,Цветбелый,Двигатель2.0 л / 150 л.с. / Бензин,КомплектацияAdvance 35 TFSI S tronic,Налог5 250 ₽ / год,Коробкароботизированная,Приводпередний,РульЛевый,Владельцы1 владелец,ТаможняРастаможен,ПТСОригинал,год выпуска2020,3 050 000 ₽Смотреть статистику цен
Кузовхэтчбек 5 дв.,Audi A3 II (8P) Рестайлинг 2,Пробег94 000 км,Цветкрасный,Двигатель1.4 л / 125 л.с. / Бензин,КомплектацияAmbition,Налог4 250 ₽ / год,Коробкароботизированная,Приводпередний,РульЛевый,Владельцы3 или более,ТаможняРастаможен,ПТСОригинал,год выпуска2012,750 000 ₽Смотреть статистику цен
Кузоввнедорожник 5 дв.,Audi Q5 I (8R) Рестайлинг,Пробег149 000 км,Цветчёрный,Двигатель2.0 л / 225 л.с. / Бензин,,Налог14 625 ₽ / год,Коробкаавтоматическая,Приводполный,РульЛевый,Владельцы1 владелец,ТаможняРастаможен,ПТСОригинал,год выпуска2013,1 790 000 ₽Смотреть статистику цен
Кузовхэтчбек 5 дв.,Audi A1 I (8X),Пробег103 403 км,Цветбелый,Двигатель1.4 л / 122 л.с. / Бензин,Комплектация46 опций,Налог4 270 ₽ / год,Коробкароботизированная,Приводпередний,РульЛевый,Владельцы1 владелец,ТаможняРастаможен,ПТСОригинал,год выпуска2012,940 000 ₽Смотреть статистику цен
